T,R,G,B
5740,0.922595824956,1.0,0.985044495921
5750,0.921443150992,1.0,0.986567248561
5760,0.920295291416,1.0,0.988086754945
5770,0.919152217704,1.0,0.989603021904
5780,0.918013901555,1.0,0.99111605627
5790,0.916880314887,1.0,0.992625864875
5800,0.915751429832,1.0,0.994132454552
5810,0.914627218737,1.0,0.995635832135
5820,0.913507654163,1.0,0.997136004457
5830,0.912392708877,1.0,0.998632978351
5840,0.911166855755,0.999873255415,1.0
5850,0.908706863802,0.998385253433,1.0
5860,0.906261578731,0.996904832008,1.0
5870,0.903830879574,0.995431936649,1.0
5880,0.901414646619,0.993966513372,1.0
5890,0.899012761397,0.992508508691,1.0
5900,0.896625106663,0.991057869615,1.0
5910,0.894251566383,0.98961454364,1.0
5920,0.891892025719,0.988178478746,1.0
5930,0.889546371012,0.986749623392,1.0
5940,0.887214489769,0.985327926506,1.0
5950,0.88489627065,0.983913337484,1.0
5960,0.88259160345,0.982505806186,1.0
5970,0.880300379089,0.981105282924,1.0
5980,0.878022489597,0.979711718465,1.0
5990,0.875757828096,0.97832506402,1.0
6000,0.873506288796,0.976945271243,1.0
6010,0.871267766972,0.975572292224,1.0
6020,0.869042158958,0.974206079485,1.0
6030,0.866829362129,0.972846585973,1.0
6040,0.864629274892,0.971493765059,1.0
6050,0.862441796673,0.970147570531,1.0
6060,0.860266827904,0.96880795659,1.0
6070,0.858104270009,0.967474877846,1.0
6080,0.855954025397,0.966148289313,1.0
6090,0.853815997443,0.964828146402,1.0
6100,0.851690090485,0.963514404924,1.0
6110,0.849576209805,0.962207021076,1.0
6120,0.847474261623,0.960905951445,1.0
6130,0.845384153081,0.959611153,1.0
6140,0.843305792238,0.958322583087,1.0
6150,0.841239088053,0.957040199427,1.0
6160,0.839183950379,0.955763960113,1.0
6170,0.837140289949,0.954493823601,1.0
6180,0.83510801837,0.953229748712,1.0
6190,0.833087048106,0.951971694626,1.0
6200,0.831077292475,0.950719620874,1.0
